# Public enum/list values documented in CONFIGURATION.html.
# field-token<TAB>accepted-public-value
vprenderer.sdr_black_nits	AUTO
vprenderer.output_presentation	AUTO
vprenderer.output_presentation	composed
vprenderer.output_presentation	direct
vprenderer.output_range	AUTO
vprenderer.output_range	full
vprenderer.output_range	limited
vprenderer.output_gamma	AUTO
vprenderer.output_gamma	bt1886
vprenderer.output_gamma	srgb
vprenderer.output_gamma	1.8
vprenderer.output_gamma	2.0
vprenderer.output_gamma	2.2
vprenderer.output_gamma	2.4
vprenderer.output_gamma	2.6
vprenderer.output_gamma	2.8
vprenderer.sdr_input_transfer	AUTO
vprenderer.sdr_input_transfer	bt1886
vprenderer.sdr_input_transfer	srgb
vprenderer.sdr_input_transfer	1.8
vprenderer.sdr_input_transfer	2.0
vprenderer.sdr_input_transfer	2.2
vprenderer.sdr_input_transfer	2.4
vprenderer.sdr_input_transfer	2.6
vprenderer.sdr_input_transfer	2.8
vprenderer.sdr_adjust_gamma	AUTO
vprenderer.sdr_adjust_gamma	on
vprenderer.sdr_adjust_gamma	off
vprenderer.sdr_target_primaries	rec709
vprenderer.sdr_target_primaries	bt2020
vprenderer.report_bt2020_to_display	true
vprenderer.report_bt2020_to_display	false
general.switch_refresh_rate	true
general.switch_refresh_rate	false
vprenderer.viewport.<variant>.automatic_crop	true
vprenderer.viewport.<variant>.automatic_crop	false
vprenderer.viewport.<variant>.vertical_alignment	top
vprenderer.viewport.<variant>.vertical_alignment	center
vprenderer.viewport.<variant>.vertical_alignment	bottom
vprenderer.viewport.<variant>.subtitle_fit	true
vprenderer.viewport.<variant>.subtitle_fit	false
vprenderer.zoom.<variant>.hdr_peak_analysis_picture_only	true
vprenderer.zoom.<variant>.hdr_peak_analysis_picture_only	false
shader.<group>.type	single
shader.<group>.type	multi
shader.<group>.<member>.shader_type	nls
shader.<group>.<member>.shader_type	custom
shader.<group>.<member>.stage	pre_resize
shader.<group>.<member>.stage	post_resize
shader.<group>.<member>.aspect_direction	narrower_only
shader.<group>.<member>.aspect_direction	wider_only
shader.<group>.<member>.aspect_direction	any
shader.<group>.<member>.vprenderer_crop_preference	preserve_image
shader.<group>.<member>.vprenderer_crop_preference	minimize_distortion
actions.<name>.enabled	true
actions.<name>.enabled	false
actions.<name>.renderer	vprenderer
actions.<name>.renderer	*
actions.<name>.on	refresh.applied
actions.<name>.on	refresh.confirmed
actions.<name>.on	refresh.restored
actions.<name>.on	state.committed
actions.<name>.on	profile.changed
actions.<name>.on	profile.input.changed
actions.<name>.on	profile.scaling.changed
actions.<name>.on	profile.display.changed
actions.<name>.on	profile.viewport.changed
actions.<name>.on	profile.queue.changed
actions.<name>.on	source.eotf.changed
actions.<name>.on	source.transfer.changed
actions.<name>.on	source.colorspace.changed
actions.<name>.on	source.primaries.changed
actions.<name>.on	source.format.changed
actions.<name>.on	source.resolution.changed
actions.<name>.on	source.scan.changed
actions.<name>.on	source.interlaced.changed
actions.<name>.on	source.hdr_metadata.changed
actions.<name>.on	source.source_rate.changed
actions.<name>.on	source.cadence.changed
actions.<name>.on	source.width.changed
actions.<name>.on	source.height.changed
actions.<name>.on	renderer.ready
